Epoch,Train Loss,Val Loss,Train Acc,Val Acc,LR
1,0.6215,0.5384,0.6850,0.9286,0.001
2,0.3532,0.1950,0.8977,0.9679,0.001
3,0.1506,0.0930,0.9571,0.9688,0.001
4,0.1126,0.0780,0.9602,0.9750,0.001
5,0.0777,0.1502,0.9715,0.9429,0.001
6,0.1534,0.0627,0.9424,0.9750,0.001
7,0.1114,0.0791,0.9548,0.9688,0.001
8,0.0578,0.0437,0.9820,0.9812,0.001
9,0.0805,0.0690,0.9715,0.9741,0.001
10,0.0767,0.0546,0.9755,0.9688,0.001
11,0.0925,0.0604,0.9633,0.9750,0.001
12,0.0649,0.0465,0.9752,0.9812,0.001
13,0.0707,0.0463,0.9701,0.9750,0.001
14,0.0427,0.0426,0.9837,0.9750,0.001
15,0.0591,0.0385,0.9789,0.9812,0.001
16,0.0591,0.0702,0.9796,0.9812,0.001
17,0.0464,0.0331,0.9796,0.9875,0.001
18,0.0606,0.0361,0.9796,0.9750,0.001
19,0.0573,0.0421,0.9837,0.9750,0.001
20,0.0340,0.0479,0.9874,0.9750,0.001
21,0.0310,0.0499,0.9864,0.9750,0.001
22,0.0287,0.0298,0.9878,0.9875,0.001
23,0.0376,0.0326,0.9905,0.9875,0.001
24,0.0253,0.0393,0.9932,0.9750,0.001
25,0.0361,0.0297,0.9891,0.9875,0.001
26,0.0401,0.0346,0.9837,0.9875,0.001
27,0.0400,0.0199,0.9837,0.9875,0.001
28,0.0749,0.0220,0.9688,0.9938,0.001
29,0.0609,0.0330,0.9769,0.9812,0.001
30,0.0588,0.0350,0.9796,0.9875,0.001
31,0.0572,0.0435,0.9728,0.9812,0.001
32,0.0391,0.0376,0.9928,0.9812,0.001
33,0.0517,0.0264,0.9843,0.9938,0.0005
34,0.0391,0.0271,0.9874,0.9938,0.0005
35,0.0270,0.0292,0.9918,0.9938,0.0005
36,0.0506,0.0266,0.9798,0.9875,0.0005
37,0.0485,0.0260,0.9823,0.9938,0.0005
